date,cycling_mi
2014-09-08,12.6
2014-09-05,19.0
2014-09-02,17.0
2014-08-30,11.4
2014-08-27,17.2
2014-08-26,18.5
2014-08-23,18.5
2014-08-21,13.0
2014-08-16,15.8
2014-08-12,19.4
2014-08-11,13.0
2014-08-09,14.5
2014-08-07,10.0
2014-08-05,14.4
2014-08-04,10.0
2014-08-03,17.2
2014-07-29,19.0
2014-07-25,14.0
2014-07-24,15.8
2014-07-22,14.4
2014-07-20,12.6
2014-07-17,14.8
2014-07-15,15.8
2014-07-14,15.0
2014-07-13,14.8
2014-07-10,16.0
2014-07-08,19.0
2014-07-07,10.0
2014-07-03,11.0
2014-07-01,19.9
2014-06-29,17.2
2014-06-27,12.7
2014-06-25,17.7
2014-06-23,20.9
2014-06-20,14.7
2014-06-19,18.7
2014-06-18,17.2
2014-06-17,29.2
2014-06-13,17.8
2014-06-12,13.4
2014-06-11,12.6
2014-06-06,19.2
2014-06-01,19.1
2014-05-30,15.4
2014-05-28,18.7
2014-05-26,11.6
2014-05-24,19.0
2014-05-22,15.0
2014-05-20,17.8
2014-05-19,18.9
2014-05-16,22.3
2014-05-13,12.6
2014-05-12,23.0
2014-05-09,10.6
2014-05-08,17.8
2014-05-07,9.8
2014-05-06,18.8
2014-05-03,14.4
2014-05-02,19.4
2014-05-01,12.6
2014-04-29,15.6
2014-04-28,21.1
2014-04-24,12.6
2014-04-23,16.2
2014-04-22,16.8
2014-04-21,12.8
2014-04-18,16.2
2014-04-17,18.3
2014-04-12,18.0
2014-04-10,18.4
2014-04-09,16.1
2014-04-08,13.5
2014-04-07,20.5
2014-04-06,12.9
2014-04-03,11.7
2014-04-02,17.8
2014-03-27,23.6
2014-03-24,21.8
2014-03-23,11.2
2014-03-21,16.0
2014-03-19,18.8
2014-03-18,15.0
2014-03-17,17.8
2014-03-16,18.1
2014-03-11,6.0
2014-03-10,11.5
2014-03-08,17.6
2014-03-07,19.6
2014-03-06,12.6
